MaToHop,DiemToHop,NhomTinhCach,NhomNganh
D14,25.0,ESFP,NgoaiNgu
C01,26.5,ESFP,GiaoDucTieuHoc
D01,24.0,ENFJ,NgoaiNgu
A00,28.0,ENTJ,SuPhamToanHoc
A00,27.25,ESTJ,SuPhamHoaHoc
X25,18.5,ESTJ,NongNghiep_MoiTruong_ThuySan
D01,25.5,ENFP,NgoaiNgu
D01,18.75,ESTP,CongNgheThongTin_TruyenThong
A01,27.25,ESTJ,SuPhamVatLy
C01,27.5,ENFJ,GiaoDucTieuHoc
X01,22.0,ENTJ,Luat_KinhTe
B00,27.0,ENFJ,SuPhamSinhHoc
B00,26.5,ENFJ,SuPhamSinhHoc
B03,26.25,ENFJ,SuPhamSinhHoc
B00,28.0,INTJ,SuPhamHoaHoc
C01,26.25,ESFJ,GiaoDucTieuHoc
D01,22.75,ISFJ,SuPhamTiengPhap
D01,25.5,ESTJ,SuPhamTinHoc
A00,28.0,INTJ,SuPhamHoaHoc
A01,20.0,ISTP,KyThuat_CongNghe
B03,20.7,INTP,KhoaHocTuNhien
D01,27.0,ESFJ,GiaoDucTieuHoc
A00,27.75,ESTJ,SuPhamToanHoc
C00,22.6,INTJ,Luat_KinhTe
D14,22.25,ENFJ,XaHoiNhanVan
D01,22.5,INFJ,XaHoiNhanVan
C01,20.25,INTP,KyThuat_CongNghe
A01,29.5,ISTJ,SuPhamToanHoc
D01,23.75,ENFJ,SuPhamTiengPhap
A01,27.75,ISTJ,SuPhamToanHoc
C01,26.5,ENFP,GiaoDucTieuHoc
D01,26.25,ENFJ,GiaoDucTieuHoc
D01,20.75,INFP,XaHoiNhanVan
B03,25.85,INFJ,SuPhamSinhHoc
B00,27.5,ESTJ,SuPhamHoaHoc
C01,19.5,INFJ,XaHoiNhanVan
A00,26.2,ESTJ,SuPhamKhoaHocTuNhien
A01,23.75,ESTJ,Luat_KinhTe
D01,20.0,ISFP,NongNghiep_MoiTruong_ThuySan
A00,25.5,ESTJ,SuPhamTinHoc
D01,26.25,ISFJ,GiaoDucTieuHoc
D14,27.75,INFJ,SuPhamTiengAnh
D15,27.0,ESFJ,SuPhamTiengAnh
C01,16.6,INTP,KyThuat_CongNghe
C01,27.25,ESFJ,GiaoDucTieuHoc
A00,28.35,ISTJ,SuPhamKhoaHocTuNhien
D01,23.75,ISFJ,SuPhamTiengPhap
A01,27.0,ISTJ,SuPhamKhoaHocTuNhien
B00,26.25,INFJ,SuPhamSinhHoc
B00,28.25,INTJ,SuPhamHoaHoc
B00,26.0,INFP,SuPhamSinhHoc
C02,24.0,ISTJ,KhoaHocTuNhien
A00,27.75,INTJ,SuPhamToanHoc
D14,25.0,ENFP,NgoaiNgu
D01,24.5,INTP,SuPhamTinHoc
D01,18.25,ISTP,CongNgheThongTin_TruyenThong
A00,18.5,ESTP,CongNgheThongTin_TruyenThong
D07,27.25,ISTJ,SuPhamHoaHoc
D01,23.25,INTP,KhoaHocTuNhien
A00,21.25,ISTP,KhoaHocTuNhien
A00,28.0,ESTJ,SuPhamTinHoc
C01,22.0,ESTP,KyThuat_CongNghe
D01,20.25,ENTP,KhoaHocTuNhien
A00,26.0,INFJ,SuPhamKhoaHocTuNhien
A01,19.75,ISTJ,KhoaHocTuNhien
D01,20.75,ISTJ,Luat_KinhTe
D01,18.85,ISTP,KhoaHocTuNhien
A01,23.25,ISFJ,XaHoiNhanVan
A01,22.75,ENTP,CongNgheThongTin_TruyenThong
A00,28.5,ISTJ,SuPhamToanHoc
C01,19.75,ISTJ,KyThuat_CongNghe
D01,25.25,INFJ,SuPhamTiengPhap
B00,27.25,INTP,SuPhamKhoaHocTuNhien
B00,27.75,INTP,SuPhamHoaHoc
C01,23.5,ISFJ,XaHoiNhanVan
D14,23.25,ENFJ,SuPhamTiengPhap
D01,24.0,ISFJ,SuPhamTiengPhap
D01,26.5,ESFP,GiaoDucTieuHoc
C01,26.25,ESFP,GiaoDucTieuHoc
A01,27.75,ESTJ,SuPhamVatLy
A00,27.75,ESFP,GiaoDucTieuHoc
A01,19.75,INFJ,NongNghiep_MoiTruong_ThuySan
C01,22.85,ISTJ,KyThuat_CongNghe
D01,24.5,ISTP,SuPhamTinHoc
X01,25.0,INFP,XaHoiNhanVan
D14,23.25,INFJ,SuPhamTiengPhap
A00,27.0,INTJ,SuPhamKhoaHocTuNhien
D01,24.75,ENFJ,SuPhamTiengPhap
A00,27.25,INTJ,SuPhamHoaHoc
D14,24.25,ENFJ,NgoaiNgu
D01,26.25,ISFJ,GiaoDucTieuHoc
D15,28.5,ENFJ,SuPhamTiengAnh
D14,27.75,INFJ,SuPhamTiengAnh
D01,25.0,ESTJ,SuPhamTinHoc
D14,24.25,ENFJ,SuPhamTiengPhap
A00,28.25,ISTJ,SuPhamToanHoc
A00,28.75,ISTJ,SuPhamToanHoc
D01,26.25,ENFJ,SuPhamTiengPhap
D14,24.5,ESFP,NgoaiNgu
D01,19.35,ESTJ,NongNghiep_MoiTruong_ThuySan
B03,26.5,INFJ,SuPhamSinhHoc
X01,19.2,INTJ,Luat_KinhTe
D01,18.25,INTJ,KhoaHocTuNhien
D01,24.5,INFJ,NgoaiNgu
A00,24.5,ISTP,SuPhamTinHoc
A01,24.75,INTJ,SuPhamTinHoc
D01,17.75,INFJ,NongNghiep_MoiTruong_ThuySan
D07,19.25,ISTP,KyThuat_CongNghe
B00,26.75,INFJ,SuPhamSinhHoc
A00,27.75,INTP,SuPhamToanHoc
C01,17.85,ESTP,KyThuat_CongNghe
D01,26.75,ESFP,GiaoDucTieuHoc
X25,18.5,ESFJ,NongNghiep_MoiTruong_ThuySan
A01,27.25,ISTJ,SuPhamVatLy
A00,26.75,INTP,SuPhamKhoaHocTuNhien
D01,24.75,INTJ,Luat_KinhTe
C02,20.1,ISFP,NongNghiep_MoiTruong_ThuySan
D01,22.75,ISFJ,SuPhamTiengPhap
D01,18.5,ISFP,NongNghiep_MoiTruong_ThuySan
C01,22.25,INFJ,XaHoiNhanVan
D01,23.0,ESFJ,SuPhamTiengPhap
D15,26.5,ENFJ,NgoaiNgu
B00,25.6,INFP,SuPhamSinhHoc
A00,27.75,INTP,SuPhamToanHoc
A01,27.25,ESTJ,SuPhamVatLy
A00,28.0,ENTJ,SuPhamToanHoc
D01,24.85,ENFJ,SuPhamTiengPhap
A00,28.25,INTJ,SuPhamVatLy
D01,25.75,ESFJ,SuPhamTiengPhap
D01,24.5,INTP,SuPhamTinHoc
D01,18.85,ENTP,KhoaHocTuNhien
A01,27.25,ESTJ,SuPhamVatLy
D01,24.75,ENFP,SuPhamTiengPhap
D01,23.5,ESFP,NgoaiNgu
A01,28.25,ESTJ,SuPhamToanHoc
D01,26.0,ESFJ,SuPhamTiengPhap
A01,27.5,ISTJ,SuPhamKhoaHocTuNhien
C01,22.5,INFJ,XaHoiNhanVan
C01,26.25,ENFP,GiaoDucTieuHoc
C01,21.5,ESTP,KyThuat_CongNghe
D01,24.75,ENFP,SuPhamTiengPhap
A00,26.25,ISTP,SuPhamTinHoc
D14,24.25,ENFJ,NgoaiNgu
A00,27.25,INTJ,SuPhamVatLy
D01,24.5,INFJ,SuPhamTiengPhap
D01,24.5,ISTP,SuPhamTinHoc
C02,20.5,ESFJ,NongNghiep_MoiTruong_ThuySan
C02,24.5,ISFJ,XaHoiNhanVan
D01,27.0,ESFJ,SuPhamTiengAnh
A01,27.25,ESTJ,SuPhamVatLy
C01,26.5,ESFP,GiaoDucTieuHoc
D01,27.25,ESFJ,SuPhamTiengAnh
A00,28.0,ESTJ,SuPhamHoaHoc
B00,26.5,ISTJ,SuPhamKhoaHocTuNhien
A00,27.0,ENFJ,GiaoDucTieuHoc
C02,24.5,ENFJ,XaHoiNhanVan
C01,23.75,INTP,KyThuat_CongNghe
B00,26.25,ENFJ,SuPhamSinhHoc
D01,24.25,INFJ,SuPhamTiengPhap
A00,28.5,INTJ,SuPhamHoaHoc
D01,21.75,ISFP,NongNghiep_MoiTruong_ThuySan
C01,20.1,INTJ,KyThuat_CongNghe
D01,23.25,ENFJ,SuPhamTiengPhap
D01,27.0,ISFJ,GiaoDucTieuHoc
D01,26.75,ESFP,GiaoDucTieuHoc
C01,28.5,ESFJ,GiaoDucTieuHoc
A00,19.35,INTP,CongNgheThongTin_TruyenThong
D01,23.5,ENFP,NgoaiNgu
A01,27.25,ISTJ,SuPhamVatLy
A00,24.85,INTP,SuPhamTinHoc
A00,19.75,ENTP,CongNgheThongTin_TruyenThong
A00,27.75,ISTJ,SuPhamVatLy
A00,27.75,ESTJ,SuPhamToanHoc
X01,24.75,INFP,XaHoiNhanVan
A00,27.75,ESTJ,SuPhamVatLy
A01,21.75,ISTP,KyThuat_CongNghe
A01,16.85,ESTP,KyThuat_CongNghe
D01,24.5,ENTP,SuPhamTinHoc
D15,23.75,ENFJ,NgoaiNgu
C01,24.5,INFP,XaHoiNhanVan
A00,26.6,INTJ,SuPhamTinHoc
D14,25.25,ESFJ,XaHoiNhanVan
A00,26.5,ESTJ,SuPhamKhoaHocTuNhien
B00,26.0,INTJ,SuPhamSinhHoc
A00,28.75,INTJ,SuPhamVatLy
D01,20.1,ENTP,CongNgheThongTin_TruyenThong
B00,27.0,INFJ,SuPhamSinhHoc
B00,25.75,INFJ,SuPhamSinhHoc
C02,19.5,ISTJ,KhoaHocTuNhien
A00,22.6,INTJ,Luat_KinhTe
A00,26.5,ISFJ,GiaoDucTieuHoc
B00,28.0,ESTJ,SuPhamHoaHoc
A00,28.0,ESTJ,SuPhamHoaHoc
C02,23.25,ESFJ,NongNghiep_MoiTruong_ThuySan
D01,24.75,INTJ,SuPhamTinHoc
A00,27.75,ESTJ,SuPhamToanHoc
C01,18.35,INTP,KyThuat_CongNghe
A00,28.0,INTJ,SuPhamToanHoc
B00,27.5,ESTJ,SuPhamHoaHoc
A00,27.75,ESTJ,SuPhamVatLy
B03,26.5,ENFJ,SuPhamSinhHoc
A00,21.0,ISTJ,KyThuat_CongNghe
A01,18.85,ISFJ,NongNghiep_MoiTruong_ThuySan
A00,26.5,ESFJ,GiaoDucTieuHoc
D01,24.75,ENFJ,XaHoiNhanVan
D09,20.0,INFJ,XaHoiNhanVan
B00,27.0,INTJ,SuPhamSinhHoc
D01,20.5,ESTJ,Luat_KinhTe
A00,26.75,INTP,SuPhamKhoaHocTuNhien
C01,24.0,ESTJ,Luat_KinhTe
D01,22.5,ENTJ,CongNgheThongTin_TruyenThong
D01,24.5,ISTP,SuPhamTinHoc
A00,25.5,ESTJ,SuPhamTinHoc
C01,23.0,ENTJ,Luat_KinhTe
D01,22.85,INFJ,SuPhamTiengPhap
C02,18.75,ISFP,NongNghiep_MoiTruong_ThuySan
D01,25.5,INFJ,NgoaiNgu
D01,25.0,ENFJ,SuPhamTiengPhap
D01,24.0,ESFP,NgoaiNgu
D01,23.5,ISFJ,SuPhamTiengPhap
C01,22.35,ESTP,KyThuat_CongNghe
A00,20.35,ENTP,CongNgheThongTin_TruyenThong
C00,22.1,INFJ,XaHoiNhanVan
A00,20.0,ISTP,KyThuat_CongNghe
C01,27.25,ESFP,GiaoDucTieuHoc
D01,23.5,ISTJ,KhoaHocTuNhien
B00,27.5,ISTJ,SuPhamHoaHoc
D01,15.45,ESFJ,NongNghiep_MoiTruong_ThuySan
D01,23.75,ESFJ,XaHoiNhanVan
D01,21.75,ESFJ,XaHoiNhanVan
D01,25.25,ISFJ,SuPhamTiengPhap
X01,23.0,ENFJ,XaHoiNhanVan
C01,23.5,ESFJ,XaHoiNhanVan
A00,18.85,ISTJ,KhoaHocTuNhien
A01,21.5,ISTJ,KhoaHocTuNhien
A01,19.35,INTJ,CongNgheThongTin_TruyenThong
A00,26.25,INFJ,SuPhamKhoaHocTuNhien
D01,22.5,ESFJ,XaHoiNhanVan
D01,24.0,ENFJ,SuPhamTiengPhap
D01,18.75,ISTP,CongNgheThongTin_TruyenThong
D01,26.25,ENFJ,SuPhamTiengPhap
C01,22.75,ISFJ,XaHoiNhanVan
C01,26.5,ESFP,GiaoDucTieuHoc
D01,19.0,ENTP,KhoaHocTuNhien
D01,17.85,ISTJ,KhoaHocTuNhien
D01,26.25,ESFP,GiaoDucTieuHoc
C01,21.25,INTP,KyThuat_CongNghe
C01,26.75,ESFJ,GiaoDucTieuHoc
D15,26.85,ENFJ,SuPhamTiengAnh
C01,19.75,ESTP,KyThuat_CongNghe
C01,26.25,ESFP,GiaoDucTieuHoc
A01,27.25,INTP,SuPhamVatLy
A00,28.25,INTJ,SuPhamVatLy
A00,26.75,ENFP,GiaoDucTieuHoc
B00,26.25,ISTJ,KyThuat_CongNghe
B00,27.75,ISTJ,SuPhamHoaHoc
D01,22.75,INFJ,SuPhamTiengPhap
A00,19.6,ISFP,NongNghiep_MoiTruong_ThuySan
A01,18.5,ESTP,CongNgheThongTin_TruyenThong
D01,25.5,ESTJ,SuPhamTinHoc
C01,24.75,ENTJ,Luat_KinhTe
B00,28.75,INTP,SuPhamHoaHoc
C02,24.5,ISFJ,XaHoiNhanVan
A00,28.25,ISTJ,SuPhamHoaHoc
D01,23.5,ESFJ,SuPhamTiengPhap
D01,18.25,INFJ,NongNghiep_MoiTruong_ThuySan
D14,24.25,ENFJ,NgoaiNgu
A01,25.35,ENTP,SuPhamTinHoc
A00,27.25,ISTJ,SuPhamHoaHoc
D01,27.5,ENFP,GiaoDucTieuHoc
A01,18.75,ESTP,CongNgheThongTin_TruyenThong
C02,20.75,INTP,KhoaHocTuNhien
A01,26.75,ISTJ,SuPhamKhoaHocTuNhien
D01,23.75,ENFP,SuPhamTiengPhap
B00,25.75,INFJ,SuPhamSinhHoc
A00,27.75,INTP,SuPhamVatLy
D01,22.75,ENFP,SuPhamTiengPhap
C02,18.35,ISFJ,NongNghiep_MoiTruong_ThuySan
B00,25.75,INFP,SuPhamSinhHoc
A00,27.5,ENFJ,GiaoDucTieuHoc
C01,23.75,INTJ,Luat_KinhTe
X01,23.5,ESTJ,Luat_KinhTe
D14,23.25,ENFP,NgoaiNgu
D01,26.25,ENFJ,GiaoDucTieuHoc
A01,27.25,INTJ,SuPhamKhoaHocTuNhien
A00,28.25,ESTJ,SuPhamVatLy
D01,21.25,INTP,CongNgheThongTin_TruyenThong
D01,22.1,INFJ,XaHoiNhanVan
D14,20.5,ENFJ,XaHoiNhanVan
A00,29.5,INTP,SuPhamHoaHoc
D01,25.5,ISFJ,SuPhamTiengPhap
B00,28.25,INTP,SuPhamHoaHoc
A00,28.0,ISTJ,SuPhamVatLy
A01,27.75,INTP,SuPhamToanHoc
A00,28.5,ISTJ,SuPhamHoaHoc
C01,26.25,ENFJ,GiaoDucTieuHoc
X70,23.0,INFJ,XaHoiNhanVan
D01,23.1,ENTP,NgoaiNgu
B00,28.5,ESTJ,SuPhamKhoaHocTuNhien
D14,27.5,ENFP,SuPhamTiengAnh
D01,22.75,ENFJ,SuPhamTiengPhap
A01,26.5,ENTP,SuPhamTinHoc
C01,27.75,ENFP,GiaoDucTieuHoc
D01,19.0,INFJ,NongNghiep_MoiTruong_ThuySan
A00,27.75,INTJ,SuPhamToanHoc
B00,26.5,ESTJ,SuPhamKhoaHocTuNhien
B00,27.25,ISFJ,SuPhamSinhHoc
A00,26.25,ENFP,XaHoiNhanVan
D01,20.75,INTJ,KhoaHocTuNhien
B03,26.0,INFP,SuPhamSinhHoc
C02,21.5,ESFJ,NongNghiep_MoiTruong_ThuySan
D01,24.75,ISTP,SuPhamTinHoc
C02,24.6,ENTJ,Luat_KinhTe
B00,15.35,ISTP,NongNghiep_MoiTruong_ThuySan
D01,25.5,ESFP,NgoaiNgu
D01,22.6,ENTP,KhoaHocTuNhien
D01,25.0,ESFP,NgoaiNgu
A00,26.0,INTP,SuPhamKhoaHocTuNhien
D14,27.0,ENFP,SuPhamTiengAnh
A00,26.25,INTJ,SuPhamKhoaHocTuNhien
D15,25.5,INFJ,NgoaiNgu
A00,26.0,INTP,SuPhamTinHoc
D01,20.75,ESFJ,NongNghiep_MoiTruong_ThuySan
B03,26.75,ISFJ,SuPhamSinhHoc
D07,19.25,ISTP,KhoaHocTuNhien
C01,25.0,ISTJ,Luat_KinhTe
D15,23.6,ENFJ,NgoaiNgu
X74,24.6,ISFJ,XaHoiNhanVan
A00,27.25,ESTJ,SuPhamVatLy
A00,28.25,ESTJ,SuPhamToanHoc
C01,22.25,ENFP,XaHoiNhanVan
D01,18.0,ENTP,KhoaHocTuNhien
B03,26.5,ENFJ,SuPhamSinhHoc
B00,27.0,INTJ,SuPhamSinhHoc
C01,23.25,ENFP,XaHoiNhanVan
D01,25.25,ENTJ,CongNgheThongTin_TruyenThong
A01,20.6,ISTJ,KhoaHocTuNhien
A00,27.75,ESTJ,SuPhamToanHoc
D14,25.5,ISFJ,SuPhamTiengPhap
A00,27.25,INTP,SuPhamHoaHoc
A01,18.25,ISTP,CongNgheThongTin_TruyenThong
A01,24.0,INTJ,KhoaHocTuNhien
A00,27.25,INTP,SuPhamHoaHoc
D01,20.35,ISFJ,NongNghiep_MoiTruong_ThuySan
C01,23.0,ENTJ,Luat_KinhTe
A01,28.25,ISTJ,SuPhamKhoaHocTuNhien
A00,20.25,ISTP,CongNgheThongTin_TruyenThong
A00,28.0,ENFJ,GiaoDucTieuHoc
A00,27.0,INFP,XaHoiNhanVan
D01,26.75,ENFP,GiaoDucTieuHoc
B03,26.0,INFP,SuPhamSinhHoc
D01,18.85,ESTJ,NongNghiep_MoiTruong_ThuySan
D01,26.25,ESFJ,GiaoDucTieuHoc
A00,26.5,ESFP,GiaoDucTieuHoc
A00,26.25,ESTJ,SuPhamTinHoc
D01,24.5,ENFJ,NgoaiNgu
A00,26.5,ENFJ,GiaoDucTieuHoc
A01,26.25,INTP,SuPhamTinHoc
D01,27.25,ENFJ,SuPhamTiengAnh
B00,27.25,INTP,SuPhamKhoaHocTuNhien
D01,18.5,ENTJ,CongNgheThongTin_TruyenThong
D15,27.5,ESFP,NgoaiNgu
A00,28.0,INTJ,SuPhamToanHoc
A00,27.75,ENTJ,SuPhamToanHoc
A00,27.25,ENFP,GiaoDucTieuHoc
X70,25.25,INFJ,XaHoiNhanVan
D01,24.25,ISFJ,SuPhamTiengPhap
C02,18.75,ISTJ,Luat_KinhTe
D01,21.1,ENTJ,CongNgheThongTin_TruyenThong
D14,23.25,ISFJ,SuPhamTiengPhap
C02,24.25,ENFJ,XaHoiNhanVan
A00,28.25,ESTJ,SuPhamToanHoc
D01,17.0,ISTP,NongNghiep_MoiTruong_ThuySan
B00,27.75,ISTJ,SuPhamKhoaHocTuNhien
A00,27.25,INFJ,SuPhamKhoaHocTuNhien
D01,19.35,ESFJ,NongNghiep_MoiTruong_ThuySan
D01,18.0,ISFP,NongNghiep_MoiTruong_ThuySan
D01,26.25,ENTP,NgoaiNgu
C01,23.0,ESTP,Luat_KinhTe
A00,28.75,ESTJ,SuPhamToanHoc
C02,22.1,ISTJ,Luat_KinhTe
D01,17.6,ISFP,NongNghiep_MoiTruong_ThuySan
D01,23.75,ESFP,NgoaiNgu
B00,26.0,ESTJ,SuPhamKhoaHocTuNhien
D01,22.0,ESTP,CongNgheThongTin_TruyenThong
A00,29.75,ESTJ,SuPhamVatLy
A00,29.5,INTP,SuPhamToanHoc
D01,23.5,ENFP,NgoaiNgu
A00,26.1,INFJ,SuPhamKhoaHocTuNhien
A01,24.5,ENTP,SuPhamTinHoc
D01,17.75,ISFP,NongNghiep_MoiTruong_ThuySan
A01,28.75,ENTJ,SuPhamToanHoc
C01,26.5,ENFJ,GiaoDucTieuHoc
B00,27.75,INTP,SuPhamKhoaHocTuNhien
A00,20.25,ESFJ,XaHoiNhanVan
D01,18.25,ESTP,CongNgheThongTin_TruyenThong
A00,27.5,ESTJ,SuPhamVatLy
A01,27.75,INTP,SuPhamKhoaHocTuNhien
A00,26.25,ESTJ,SuPhamKhoaHocTuNhien
D01,25.0,ENFP,NgoaiNgu
A00,24.5,INTP,SuPhamTinHoc
A00,27.5,ISTJ,SuPhamVatLy
D01,24.75,INTP,SuPhamTinHoc
B03,26.5,INFJ,SuPhamSinhHoc
C01,27.25,ENFP,GiaoDucTieuHoc
A00,28.25,INTJ,SuPhamVatLy
D01,20.5,ISTP,KhoaHocTuNhien
B00,27.5,ESTJ,SuPhamHoaHoc
A00,27.5,ESTJ,SuPhamHoaHoc
C02,25.0,ESTJ,Luat_KinhTe
C01,19.25,ISTP,KyThuat_CongNghe
A00,28.75,ESTJ,SuPhamHoaHoc
C01,26.25,ISFJ,GiaoDucTieuHoc
C02,20.5,ENTP,Luat_KinhTe
D01,23.75,INFJ,SuPhamTiengPhap
A00,27.0,ENFJ,GiaoDucTieuHoc
D01,24.0,ESFJ,SuPhamTiengPhap
A00,27.5,ESTJ,SuPhamVatLy
D01,23.25,ENFJ,NgoaiNgu
A01,27.75,INTJ,SuPhamVatLy
D01,18.5,ESTP,CongNgheThongTin_TruyenThong
D01,24.75,ESFJ,SuPhamTiengPhap
C02,20.6,ISFJ,NongNghiep_MoiTruong_ThuySan
D01,25.0,ENTP,NgoaiNgu
A01,28.0,ESTJ,SuPhamToanHoc
D01,24.0,ENTP,CongNgheThongTin_TruyenThong
C01,23.75,ISTP,KyThuat_CongNghe
D01,19.0,ISFP,NongNghiep_MoiTruong_ThuySan
D01,27.0,ENFP,SuPhamTiengAnh
D01,17.85,ISTJ,KhoaHocTuNhien
C02,20.35,ISTP,KhoaHocTuNhien
A00,26.5,ESTJ,SuPhamTinHoc
D01,19.25,ENTP,KhoaHocTuNhien
C01,27.75,ESFP,GiaoDucTieuHoc
B00,26.75,INFP,SuPhamSinhHoc
A00,28.25,ENTJ,SuPhamToanHoc
A01,18.2,ENTP,CongNgheThongTin_TruyenThong
A00,27.0,ENFJ,GiaoDucTieuHoc
B00,26.25,ISFJ,SuPhamSinhHoc
D01,16.5,ISFP,NongNghiep_MoiTruong_ThuySan
A00,27.5,INTP,SuPhamVatLy
D14,27.5,ENTP,SuPhamTiengAnh
B00,27.75,INTP,SuPhamHoaHoc
A01,20.5,ISTP,NongNghiep_MoiTruong_ThuySan
B00,25.75,INFP,SuPhamSinhHoc
D01,17.35,INTJ,KhoaHocTuNhien
C02,23.5,ENFJ,XaHoiNhanVan
A00,27.0,INTJ,SuPhamKhoaHocTuNhien
C01,22.25,ENFP,XaHoiNhanVan
D01,27.5,ENFP,SuPhamTiengAnh
D01,23.5,ENTP,NgoaiNgu
B00,25.75,INFP,SuPhamSinhHoc
C01,25.0,ISFJ,XaHoiNhanVan
D14,25.25,ESFJ,SuPhamTiengPhap
A01,26.75,INFJ,SuPhamKhoaHocTuNhien
X01,21.0,ENTP,Luat_KinhTe
A00,27.5,INTJ,SuPhamHoaHoc
B00,26.35,INFJ,SuPhamKhoaHocTuNhien
D01,24.25,ENTP,KhoaHocTuNhien
A01,23.75,INFJ,XaHoiNhanVan
A01,22.75,ISTP,CongNgheThongTin_TruyenThong
B03,17.7,INTJ,KhoaHocTuNhien
A00,27.75,ENTJ,SuPhamToanHoc
A00,22.75,INTP,CongNgheThongTin_TruyenThong
C01,26.75,ISFJ,GiaoDucTieuHoc
A00,28.25,INTJ,SuPhamToanHoc
C02,25.5,INTJ,Luat_KinhTe
A00,27.75,ESTJ,SuPhamKhoaHocTuNhien
A01,26.5,INTP,SuPhamTinHoc
A00,28.0,INTJ,SuPhamVatLy
B00,27.25,ISTJ,SuPhamHoaHoc
D14,23.25,ISFJ,SuPhamTiengPhap
A00,28.0,ESTJ,SuPhamVatLy
D14,23.75,ENFJ,NgoaiNgu
X25,17.5,ESTJ,NongNghiep_MoiTruong_ThuySan
C01,23.5,INFJ,XaHoiNhanVan
A01,27.75,ISTJ,SuPhamToanHoc
C01,27.5,ESFJ,GiaoDucTieuHoc
D14,23.75,ENFJ,SuPhamTiengPhap
A00,22.5,ISTP,KyThuat_CongNghe
D01,20.0,ENTJ,CongNgheThongTin_TruyenThong
D15,27.75,INFJ,SuPhamTiengAnh
C01,21.75,ISTP,KyThuat_CongNghe
D01,26.75,ESTJ,SuPhamTinHoc
D01,27.0,ESFJ,SuPhamTiengAnh
